FileExt,File,ID,Code,Year,i,Parashat,Date,Title,Moment,Shabbat,Occasion
5767-405-1.m4a,5767-405-1,57674051,405,5767,1,Korach,2007-06-16,Baldy,,,
5767-406a-1.m4a,5767-406a-1,5767406a1,406a,5767,1,Chukat,2007-06-23,Acceptance,,,
5767-406b-1.m4a,5767-406b-1,5767406b1,406b,5767,1,Balak,2007-06-30,Personal Power!,Shacharit,,
5767-406b-2.m4a,5767-406b-2,5767406b2,406b,5767,2,Balak,2007-06-30,Soul Music,Kabalat Shabbat,,
5767-408-1.m4a,5767-408-1,57674081,408,5767,1,Matot-Masei,2007-07-14,City Mouse,Shacharit,,
5767-408-2.m4a,5767-408-2,57674082,408,5767,2,Matot-Masei,2007-07-14,The Voluntary Torah,Kabalat Shabbat,,
5767-501-1.m4a,5767-501-1,57675011,501,5767,1,Devarim,2007-07-21,"Moses, Our Teacher",Shacharit,,
5767-501-2.m4a,5767-501-2,57675012,501,5767,2,Devarim,2007-07-21,Don't Be Sad,Kabalat Shabbat,,
5767-503-1.m4a,5767-503-1,57675031,503,5767,1,Eikev,2007-08-04,Small Stuff,Shacharit,,
5767-503-2.m4a,5767-503-2,57675032,503,5767,2,Eikev,2007-08-04,Social Security,Kabalat Shabbat,,
5767-503-3.m4a,5767-503-3,57675033,503,5767,3,Eikev,2007-08-04,Tu B'Av,Seuda Shlishit,,
5767-506-1.m4a,5767-506-1,57675061,506,5767,1,Ki Teitzei,2007-08-25,Don't Look Back,,,
5767-508-1.m4a,5767-508-1,57675081,508,5767,1,Nitzavim-Vayeilech,2007-09-08,Wood Choppers and Water Carriers,,,
5767-508-2.m4a,5767-508-2,57675082,508,5767,2,Nitzavim-Vayeilech,2007-09-08,Today!,,,
5768-001-1.m4a,5768-001-1,57680011,001,5768,1,Rosh Hashanah,2007-09-13,Memorial Day,First day,,
5768-001-2.m4a,5768-001-2,57680012,001,5768,2,Rosh Hashanah,2007-09-14,"Don't Be, Become",Second day,,
5768-002-1.m4a,5768-002-1,57680021,002,5768,1,Yom Kippur,2007-09-22,Tell Them About It,Kol Nidre,,
5768-012-1.m4a,5768-012-1,57680121,012,5768,1,Shmini Atzeret,2007-10-04,Rain On Me,,,
5768-101-1.m4a,5768-101-1,57681011,101,5768,1,Bereshit,2007-10-06,The Circle of Life,,,
5768-102-1.m4a,5768-102-1,57681021,102,5768,1,Noach,2007-10-13,You Say You Want An Evolution,,,
5768-103-1.m4a,5768-103-1,57681031,103,5768,1,Lech-Lecha,2007-10-20,"Be Selfish, Not Selfless",,,
5768-104-1.m4a,5768-104-1,57681041,104,5768,1,Vayera,2007-10-27,The Devil Wears Prada,,,AIPAC Shabbaton
5768-105-1.m4a,5768-105-1,57681051,105,5768,1,Chayei Sara,2007-11-03,Three Weddings and a Funeral,,,
5768-106-1.m4a,5768-106-1,57681061,106,5768,1,Toldot,2007-11-10,Jakob the Liar,,,
5768-107-1.m4a,5768-107-1,57681071,107,5768,1,Vayetzei,2007-11-17,Rags to Riches,,,
5768-109-1.m4a,5768-109-1,57681091,109,5768,1,Vayeshev,2007-12-01,"You Are Right, I Am Wrong...",,,
5768-110-1.m4a,5768-110-1,57681101,110,5768,1,Miketz,2007-12-08,Life is Beautiful,,,
5768-111-1.m4a,5768-111-1,57681111,111,5768,1,Vayigash,2007-12-15,Sandcastles in the Sky,,,
5768-112-1.m4a,5768-112-1,57681121,112,5768,1,Vayechi,2007-12-22,Lullaby,,,
5768-202-1.m4a,5768-202-1,57682021,202,5768,1,Vaera,2008-01-05,Self Control,,,
5768-203-1.m4a,5768-203-1,57682031,203,5768,1,Bo,2008-01-12,Jeopardy!,,,
5768-204-1.m4a,5768-204-1,57682041,204,5768,1,Beshalach,2008-01-19,The Long Way Home,,,
5768-205-1.m4a,5768-205-1,57682051,205,5768,1,Yitro,2008-01-26,Boruch Hashem,,,
5768-206-1.m4a,5768-206-1,57682061,206,5768,1,Mishpatim,2008-02-02,Personal Property,,,
5768-207-1.m4a,5768-207-1,57682071,207,5768,1,Terumah,2008-02-09,There's No Place Like Home,,,
5768-208-1.m4a,5768-208-1,57682081,208,5768,1,Tetzaveh,2008-02-16,IFF,,,
5768-209-1.m4a,5768-209-1,57682091,209,5768,1,Ki Tisa,2008-02-23,Macher,,,
5768-210a-1.m4a,5768-210a-1,5768210a1,210a,5768,1,Vayakhel,2008-03-01,Small Leap,,,
5768-301-1.m4a,5768-301-1,57683011,301,5768,1,Vayikra,2008-03-15,A Cold World,,Zachor,
5768-303-1.m4a,5768-303-1,57683031,303,5768,1,Shmini,2008-03-29,Blind Faith,,Parah,
5768-304a-1.m4a,5768-304a-1,5768304a1,304a,5768,1,Tazria,2008-04-05,Eight,,Hachodesh,
5768-304b-1.m4a,5768-304b-1,5768304b1,304b,5768,1,Metzora,2008-04-12,Out of the Box,Shacharit,,
5768-304b-2.m4a,5768-304b-2,5768304b2,304b,5768,2,Metzora,2008-04-12,Smile,Kabalat Shabbat,,
5768-305b-1.m4a,5768-305b-1,5768305b1,305b,5768,1,Kedoshim,2008-05-03,Be Holy,,,
5768-307a-1.m4a,5768-307a-1,5768307a1,307a,5768,1,Behar,2008-05-17,This Land Is My Land,,,
5768-307b-1.m4a,5768-307b-1,5768307b1,307b,5768,1,Bechukotai,2008-05-24,Egged,,,Lag baOmer
5768-401-1.m4a,5768-401-1,57684011,401,5768,1,Bamidbar,2008-05-31,Escort Service,,,
5768-403-1.m4a,5768-403-1,57684031,403,5768,1,Beha'alotcha,2008-06-14,Free Food,,,
5768-405-1.m4a,5768-405-1,57684051,405,5768,1,Korach,2008-06-28,Hair,,,
5768-406b-1.m4a,5768-406b-1,5768406b1,406b,5768,1,Balak,2008-07-12,Hell’s Angels,,,
5768-407-1.m4a,5768-407-1,57684071,407,5768,1,Pinchas,2008-07-19,Perspiration,,,
5768-408a-1.m4a,5768-408a-1,5768408a1,408a,5768,1,Matot,2008-07-26,Take Revenge!,,,
5768-408b-1.m4a,5768-408b-1,5768408b1,408b,5768,1,Masei,2008-08-02,But,,,
5768-501-1.m4a,5768-501-1,57685011,501,5768,1,Devarim,2008-08-09,The Honey Bee,,,
5768-504-1.m4a,5768-504-1,57685041,504,5768,1,Re'eh,2008-08-30,Watch!,,,
5768-505-1.m4a,5768-505-1,57685051,505,5768,1,Shoftim,2008-09-06,Politics and Charisma,,,
5768-506-1.m4a,5768-506-1,57685061,506,5768,1,Ki Teitzei,2008-09-13,Id,,,
5768-507-1.m4a,5768-507-1,57685071,507,5768,1,Ki Tavo,2008-09-20,"Don't Worry, Be Happy",,,
5768-508a-1.m4a,5768-508a-1,5768508a1,508a,5768,1,Nitzavim,2008-09-27,Stand,,,
5768-508b-1.m4a,5768-508b-1,5768508b1,508b,5768,1,Vayeilech,2008-10-04,Glory Days,,,
5769-002-1.m4a,5769-002-1,57690021,002,5769,1,Yom Kippur,2008-10-09,Commitment,Kol Nidre,,
5769-011-1.m4a,5769-011-1,57690111,011,5769,1,Sukkot,2008-10-14,The Secret of Happiness Is Death,,,
5769-012-1.m4a,5769-012-1,57690121,012,5769,1,Shmini Atzeret,2008-10-21,Stop...In The Name Of Love,,,
5769-101-1.m4a,5769-101-1,57691011,101,5769,1,Bereshit,2008-10-25,The Naked Fruit,Shacharit,,
5769-101-2.m4a,5769-101-2,57691012,101,5769,2,Bereshit,2008-10-25,An Island of Song,Kabalat Shabbat,,
5769-102-1.m4a,5769-102-1,57691021,102,5769,1,Noach,2008-11-01,Phillies Phlood,,,
5769-103-1.m4a,5769-103-1,57691031,103,5769,1,Lech-Lecha,2008-11-08,Road Trip,,,
5769-105-1.m4a,5769-105-1,57691051,105,5769,1,Chayei Sara,2008-11-22,Yogi Tea,,,
5769-106-1.m4a,5769-106-1,57691061,106,5769,1,Toldot,2008-11-29,"Mumbai, Hodu",,,
5769-107-1.m4a,5769-107-1,57691071,107,5769,1,Vayetzei,2008-12-06,"Everything I Do, I Do It For You",,,
5769-108-1.m4a,5769-108-1,57691081,108,5769,1,Vayishlach,2008-12-13,Life is a Battlefield,,,
5769-109-1.m4a,5769-109-1,57691091,109,5769,1,Vayeshev,2008-12-20,A Dollar and a Dream,,,
5769-111-1.m4a,5769-111-1,57691111,111,5769,1,Vayigash,2009-01-03,Kitten Ghetto,,,
5769-112-1.m4a,5769-112-1,57691121,112,5769,1,Vayechi,2009-01-10,Deaf Justice,,,
5769-201-1.m4a,5769-201-1,57692011,201,5769,1,Shemot,2009-01-17,Hope in Gaza,,,
5769-202-1.m4a,5769-202-1,57692021,202,5769,1,Vaera,2009-01-24,70-20-10,,,
5769-203-1.m4a,5769-203-1,57692031,203,5769,1,Bo,2009-01-31,Bloody Doritos,,,
5769-204-1.m4a,5769-204-1,57692041,204,5769,1,Beshalach,2009-02-07,Oz and Aish,,,
5769-205-1.m4a,5769-205-1,57692051,205,5769,1,Yitro,2009-02-14,Be My Valentine,,,
5769-206-1.m4a,5769-206-1,57692061,206,5769,1,Mishpatim,2009-02-21,Self Motivation,,Shekalim,
5769-207-1.m4a,5769-207-1,57692071,207,5769,1,Terumah,2009-02-28,Devil In The Details,,,
5769-208-1.m4a,5769-208-1,57692081,208,5769,1,Tetzaveh,2009-03-07,Green Day,,Zachor,
5769-209-1.m4a,5769-209-1,57692091,209,5769,1,Ki Tisa,2009-03-14,Runaway Cow,,Parah,
5769-210-1.m4a,5769-210-1,57692101,210,5769,1,Vayakhel-Pekudei,2009-03-21,Just Do It!,,,
5769-301-1.m4a,5769-301-1,57693011,301,5769,1,Vayikra,2009-03-28,Cholent Recipe,,,
5769-302-1.m4a,5769-302-1,57693021,302,5769,1,Tzav,2009-04-04,Opening Day,,,
5769-303-1.m4a,5769-303-1,57693031,303,5769,1,Shmini,2009-04-18,Survivor,,,
5769-304-1.m4a,5769-304-1,57693041,304,5769,1,Tazria-Metzora,2009-04-25,Orange Civic,,,
5769-305-1.m4a,5769-305-1,57693051,305,5769,1,Achrei Mot-Kedoshim,2009-05-02,Time To Make The Donuts,,,
5769-306-1.m4a,5769-306-1,57693061,306,5769,1,Emor,2009-05-09,Your Stupid Mother,,,Matt Harris’ Aufruf
5769-307-1.m4a,5769-307-1,57693071,307,5769,1,Behar-Bechukotai,2009-05-16,Immaculate Reception,,,
5769-401-1.m4a,5769-401-1,57694011,401,5769,1,Bamidbar,2009-05-23,No Ordinary Joe,,,
5769-403-1.m4a,5769-403-1,57694031,403,5769,1,Beha'alotcha,2009-06-13,Happy Anniversary!,,,
5769-404-1.m4a,5769-404-1,57694041,404,5769,1,Sh'lach,2009-06-20,Color Commentary,,,
5769-405-1.m4a,5769-405-1,57694051,405,5769,1,Korach,2009-06-27,Bad,,,
5769-406-1.m4a,5769-406-1,57694061,406,5769,1,Chukat-Balak,2009-07-04,Megadeath,,,
5769-407-1.m4a,5769-407-1,57694071,407,5769,1,Pinchas,2009-07-11,Get Sirius,,,
5769-408-1.m4a,5769-408-1,57694081,408,5769,1,Matot-Masei,2009-07-18,Clubby Cliques,,,
5769-501-1.m4a,5769-501-1,57695011,501,5769,1,Devarim,2009-07-25,Things Can Only Get Better,,,
5769-502-1.m4a,5769-502-1,57695021,502,5769,1,Vaetchanan,2009-08-01,Consolation Prize,,,
5769-503-1.m4a,5769-503-1,57695031,503,5769,1,Eikev,2009-08-08,Save Paula Abdul,,,
5769-504-1.m4a,5769-504-1,57695041,504,5769,1,Re'eh,2009-08-15,It's the Climb,,,
5769-506-1.m4a,5769-506-1,57695061,506,5769,1,Ki Teitzei,2009-08-29,Awake! Aware! Alive!,,,
5769-507-1.m4a,5769-507-1,57695071,507,5769,1,Ki Tavo,2009-09-05,We're number 2,,,
5769-508-1.m4a,5769-508-1,57695081,508,5769,1,Nitzavim-Vayeilech,2009-09-12,Cheat Sheet,,,
5769-509-1.m4a,5769-509-1,57695091,509,5769,1,Ha'Azinu,2009-09-26,Missing You,,Shuvah,
5770-001-1.m4a,5770-001-1,57700011,001,5770,1,Rosh Hashanah,2009-09-19,Where's The Orchestra,First day,,
5770-001-2.m4a,5770-001-2,57700012,001,5770,2,Rosh Hashanah,2009-09-20,Air Raid Siren,Second day,,
5770-002-1.m4a,5770-002-1,57700021,002,5770,1,Yom Kippur,2009-09-28,You Belong With Me,Kol Nidre,,
5770-011-1.m4a,5770-011-1,57700111,011,5770,1,Sukkot,2009-10-03,Festival of Boots ,First day,,
5770-011-2.m4a,5770-011-2,57700112,011,5770,2,Sukkot,2009-10-04,You Gotta Have Heart ,Second day,,
5770-012-1.m4a,5770-012-1,57700121,012,5770,1,Shmini Atzeret,2009-10-10,Send-off,,,
5770-101-1.m4a,5770-101-1,57701011,101,5770,1,Bereshit,2009-10-17,Circles,,,
5770-102-1.m4a,5770-102-1,57701021,102,5770,1,Noach,2009-10-24,Dancing With The Stars,,,
5770-103-1.m4a,5770-103-1,57701031,103,5770,1,Lech-Lecha,2009-10-31,Changes,,,
5770-104-1.m4a,5770-104-1,57701041,104,5770,1,Vayera,2009-11-07,Don't Give It All Away,,,
5770-105-1.m4a,5770-105-1,57701051,105,5770,1,Chayei Sara,2009-11-14,Unappreciated,,,
5770-106-1.m4a,5770-106-1,57701061,106,5770,1,Toldot,2009-11-21,Relative Truth,,,
5770-107-1.m4a,5770-107-1,57701071,107,5770,1,Vayetzei,2009-11-28,The Story of Us,,,Alex Kleinmann’s Aufruf
5770-108-1.m4a,5770-108-1,57701081,108,5770,1,Vayishlach,2009-12-05,Ask,Shacharit,,
5770-108-2.m4a,5770-108-2,57701082,108,5770,2,Vayishlach,2009-12-05,Music for Your Soul ,Kabalat Shabbat,,
5770-109-1.m4a,5770-109-1,57701091,109,5770,1,Vayeshev,2009-12-12,Inglorious Basterds,,,Chanukah
5770-110-1.m4a,5770-110-1,57701101,110,5770,1,Miketz,2009-12-19,Man of the Year,,,Chanukah
5770-111-1.m4a,5770-111-1,57701111,111,5770,1,Vayigash,2009-12-26,Hannukahmas,,,
5770-201-1.m4a,5770-201-1,57702011,201,5770,1,Shemot,2010-01-09,Self Esteem,,,
5770-202-1.m4a,5770-202-1,57702021,202,5770,1,Vaera,2010-01-16,I Feel For You,,,
5770-203-1.m4a,5770-203-1,57702031,203,5770,1,Bo,2010-01-23,Tefilin Bomb,,,
5770-204-1.m4a,5770-204-1,57702041,204,5770,1,Beshalach,2010-01-30,The Tree and the Sea,,,Tu b'Shvat
5770-205-1.m4a,5770-205-1,57702051,205,5770,1,Yitro,2010-02-06,You're So Vain,,,
5770-207-1.m4a,5770-207-1,57702071,207,5770,1,Terumah,2010-02-20,Accounting 101,,,
5770-210-1.m4a,5770-210-1,57702101,210,5770,1,Vayakhel-Pekudei,2010-03-13,The First Day,,Hachodesh,
5770-302-1.m4a,5770-302-1,57703021,302,5770,1,Tzav,2010-03-27,KosherStarbucks.com,,Hagadol,
5770-303-1.m4a,5770-303-1,57703031,303,5770,1,Shmini,2010-04-10,Havdalah,,,Yom haShoah
5770-304-1.m4a,5770-304-1,57703041,304,5770,1,Tazria-Metzora,2010-04-17,Gold in the Walls,,,Yom haAtzmaut
5770-305-1.m4a,5770-305-1,57703051,305,5770,1,Achrei Mot-Kedoshim,2010-04-24,One Page Talent Management,,,
5770-306-1.m4a,5770-306-1,57703061,306,5770,1,Emor,2010-05-01,Get Up,,,
5770-307-1.m4a,5770-307-1,57703071,307,5770,1,Behar-Bechukotai,2010-05-08,The Jerusalem Connection,,,
5770-401-1.m4a,5770-401-1,57704011,401,5770,1,Bamidbar,2010-05-15,Census 2010,,,
5770-402-1.m4a,5770-402-1,57704021,402,5770,1,Nasso,2010-05-22,The Wonderous Nazarite,,,
5770-403-1.m4a,5770-403-1,57704031,403,5770,1,Beha'alotcha,2010-05-29,Step By Step,,,
5770-404-1.m4a,5770-404-1,57704041,404,5770,1,Sh'lach,2010-06-05,We Con The World,,,
5770-405-1.m4a,5770-405-1,57704051,405,5770,1,Korach,2010-06-12,Let It Go,,,
5770-406a-1.m4a,5770-406a-1,5770406a1,406a,5770,1,Chukat,2010-06-19,Birth Pangs,,,
5770-406b-1.m4a,5770-406b-1,5770406b1,406b,5770,1,Balak,2010-06-26,Mindfulness,,,
5770-408-1.m4a,5770-408-1,57704081,408,5770,1,Matot-Masei,2010-07-10,Music During the 3 Weeks,,,
5770-501-1.m4a,5770-501-1,57705011,501,5770,1,Devarim,2010-07-17,50 First Dates,,,
5770-502-1.m4a,5770-502-1,57705021,502,5770,1,Vaetchanan,2010-07-24,Repeat That,,,
5770-503-1.m4a,5770-503-1,57705031,503,5770,1,Eikev,2010-07-31,Lasting Pleasure,,,
5770-505-1.m4a,5770-505-1,57705051,505,5770,1,Shoftim,2010-08-14,Imperfect Game,,,Craig Whitman’s Aufruf
5770-506-1.m4a,5770-506-1,57705061,506,5770,1,Ki Teitzei,2010-08-21,G-d Help Us,,,
5770-507-1.m4a,5770-507-1,57705071,507,5770,1,Ki Tavo,2010-08-28,Thank G-d I am a Jew,,,
5770-508-1.m4a,5770-508-1,57705081,508,5770,1,Nitzavim-Vayeilech,2010-09-04,Are You In?,,,
5770-509-1.m4a,5770-509-1,57705091,509,5770,1,Ha'Azinu,2010-09-11,Respect and Suspect,,Shuvah,
5771-001-1.m4a,5771-001-1,57710011,001,5771,1,Rosh Hashanah,2010-09-09,Change,First day,,
5771-001-2.m4a,5771-001-2,57710012,001,5771,2,Rosh Hashanah,2010-09-10,The Second Day,Second day,,
5771-002-1.m4a,5771-002-1,57710021,002,5771,1,Yom Kippur,2010-09-18,Sincerity,Kol Nidre,,
5771-011-1.m4a,5771-011-1,57710111,011,5771,1,Sukkot,2010-09-23,Kindness to G-d,First day,,
5771-011-2.m4a,5771-011-2,57710112,011,5771,2,Sukkot,2010-09-24,Clouds of Courage,Second day,,
5771-011-3.m4a,5771-011-3,57710113,011,5771,3,Sukkot,2010-09-25,Animal House,Shabbat Chol haMoed,,
5771-012-1.m4a,5771-012-1,57710121,012,5771,1,Shmini Atzeret,2010-09-30,Can't Get a Break,,,
5771-013-1.m4a,5771-013-1,57710131,013,5771,1,Simchat Torah,2010-10-01,Infinite Muffins and Mimosas,,,
5771-031-1.m4a,5771-031-1,57710311,031,5771,1,Shavuot,2011-06-08,Nature vs. Nurture ,,,
5771-101-1.m4a,5771-101-1,57711011,101,5771,1,Bereshit,2010-10-02,Holiday Spirit,,,
5771-102-1.m4a,5771-102-1,57711021,102,5771,1,Noach,2010-10-09,Mano a mano,,,Alex Nikitenko’s Aufruf
5771-103-1.m4a,5771-103-1,57711031,103,5771,1,Lech-Lecha,2010-10-16,Circumcise Me!,,,
5771-104-1.m4a,5771-104-1,57711041,104,5771,1,Vayera,2010-10-23,The Best Host,,,
5771-105-1.m4a,5771-105-1,57711051,105,5771,1,Chayei Sara,2010-10-30,Gratitude to Animals,,,
5771-107-1.m4a,5771-107-1,57711071,107,5771,1,Vayetzei,2010-11-13,Advice On Giving Advice,,,
5771-108-1.m4a,5771-108-1,57711081,108,5771,1,Vayishlach,2010-11-20,The Miami Snow Globe,,,
5771-109-1.m4a,5771-109-1,57711091,109,5771,1,Vayeshev,2010-11-27,Smelly Shabbat Candles,,,
5771-110-1.m4a,5771-110-1,57711101,110,5771,1,Miketz,2010-12-04,Maccabeats,,,
5771-111-1.m4a,5771-111-1,57711111,111,5771,1,Vayigash,2010-12-11,Synthesis,,,
5771-201-1.m4a,5771-201-1,57712011,201,5771,1,Shemot,2010-12-25,It's Raining in LA,,,
5771-202-1.m4a,5771-202-1,57712021,202,5771,1,Vaera,2011-01-01,New Year's Resolution,,,
5771-203-1.m4a,5771-203-1,57712031,203,5771,1,Bo,2011-01-08,National Bar Mitzvah,,,Michael Fleisher's Bar Mitzvah
5771-204-1.m4a,5771-204-1,57712041,204,5771,1,Beshalach,2011-01-15,Everyday Is Like Mon-day,,,
5771-205-1.m4a,5771-205-1,57712051,205,5771,1,Yitro,2011-01-22,Fruit Therapy,,,"Marriage of Chava Sims and Kaleb Shervington, Tu b’Shvat"
5771-206-1.m4a,5771-206-1,57712061,206,5771,1,Mishpatim,2011-01-29,Justifiable Slavery,,,
5771-207-1.m4a,5771-207-1,57712071,207,5771,1,Terumah,2011-02-05,That's What Friends Are For,,,
5771-207-2.m4a,5771-207-2,57712072,207,5771,2,Terumah,2011-02-05,Constant Happiness,D’var Halacha,,
5771-208-1.m4a,5771-208-1,57712081,208,5771,1,Tetzaveh,2011-02-12,Objective Light,,,Dedication of Ner Tamid
5771-208-2.m4a,5771-208-2,57712082,208,5771,2,Tetzaveh,2011-02-12,Yahrtzeit in Adar,D’var Halacha,,
5771-209-1.m4a,5771-209-1,57712091,209,5771,1,Ki Tisa,2011-02-19,False Expectations Appearing Real,,,
5771-209-2.m4a,5771-209-2,57712092,209,5771,2,Ki Tisa,2011-02-19,Shushan Purim Katan Shechal B'Shabbat,D’var Halacha,,
5771-210a-1.m4a,5771-210a-1,5771210a1,210a,5771,1,Vayakhel,2011-02-26,Wise Heart,,,Aaron Block’s Bar Mitzvah
5771-210b-1.m4a,5771-210b-1,5771210b1,210b,5771,1,Pekudei,2011-03-05,End of an Era,,,Marriage of Amy Landsburg and Randy Shultz
5771-301-1.m4a,5771-301-1,57713011,301,5771,1,Vayikra,2011-03-12,Hot Blodded,,,Strong-Rosen Brit
5771-302-1.m4a,5771-302-1,57713021,302,5771,1,Tzav,2011-03-19,Guns N' Roses,,,Purim
5771-303-1.m4a,5771-303-1,57713031,303,5771,1,Shmini,2011-03-26,Who By Fire,,,Baby naming of Naomi Tzipora Schnarch
5771-304a-1.m4a,5771-304a-1,5771304a1,304a,5771,1,Tazria,2011-04-02,As The World Turns,,,In memory of Reuven Elefant z'l
5771-304b-1.m4a,5771-304b-1,5771304b1,304b,5771,1,Metzora,2011-04-09,The Devil Inside,,,
5771-305a-1.m4a,5771-305a-1,5771305a1,305a,5771,1,Achrei Mot,2011-04-16,Kitniyot,,Hagadol,
5771-305b-1.m4a,5771-305b-1,5771305b1,305b,5771,1,Kedoshim,2011-04-30,The Forty Days of Musa Dagh,,,Yom haShoah
5771-306-1.m4a,5771-306-1,57713061,306,5771,1,Emor,2011-05-07,It's All Good,,,Yom haAtzmaut
5771-307a-1.m4a,5771-307a-1,5771307a1,307a,5771,1,Behar,2011-05-14,The Graduate,,,
5771-307b-1.m4a,5771-307b-1,5771307b1,307b,5771,1,Bechukotai,2011-05-21,Apocalypse Now,,,
5771-401-1.m4a,5771-401-1,57714011,401,5771,1,Bamidbar,2011-05-28,Not Numbers,,,
5771-402-1.m4a,5771-402-1,57714021,402,5771,1,Nasso,2011-06-04,Yom Hameyuchas,,,
5771-403-1.m4a,5771-403-1,57714031,403,5771,1,Beha'alotcha,2011-06-11,Three Steps,,,
5771-404-1.m4a,5771-404-1,57714041,404,5771,1,Sh'lach,2011-06-18,Pro Choice,,,
5771-405-1.m4a,5771-405-1,57714051,405,5771,1,Korach,2011-06-25,Bottomless Pit,,,
5771-406a-1.m4a,5771-406a-1,5771406a1,406a,5771,1,Chukat,2011-07-02,Tootsie Pop,,,
5771-406b-1.m4a,5771-406b-1,5771406b1,406b,5771,1,Balak,2011-07-09,One Word,,,
5771-407-1.m4a,5771-407-1,57714071,407,5771,1,Pinchas,2011-07-16,Car Salesman,,,"Marriages of Robin Todes and Ari Gilbert, and Naomi Zwillenberg and Josh Aronowitz"
