name,type,where,url,food,address,city,phone,hash,hash_name,hash_url,certificate_url,note,warning,yelp_url,facebook_url
Sip-N-Glow Juicery,bakery,Center City,http://www.sipnglo.com,Juices,257 S 20th St,"Philadelphia, PA",(215) 372-7555,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/sip-n-glo-juicery-rittenhouse-philadelphia,https://www.facebook.com/SipNGloJuicery/
Sip-N-Glow Juicery,bakery,Center City,http://www.sipnglo.com,Juices,1700 Sansom St,"Philadelphia, PA",(215) 988-9876,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/sip-n-glo-juicery-rittenhouse-philadelphia,https://www.facebook.com/SipNGloJuicery/
Sweet Freedom Bakery,bakery,Center City,http://www.sweetfreedombakery.com/,Gluten-free vegan bakery (parve),1424 South Street,"Philadelphia, PA",(215) 545-1899,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/sweet-freedom-bakery-philadelphia,https://www.facebook.com/SweetFreedomBakery
Sweet Freedom Bakery,bakery,Main Line,http://www.sweetfreedombakery.com/,Gluten-free vegan bakery (parve),1039 W Lancaster Av,"Bryn Mawr, PA",(215) 527-7323,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/sweet-freedom-bryn-mawr,https://www.facebook.com/SweetFreedomBakery
Sweet Freedom Bakery,bakery,Cherry Hill,http://www.sweetfreedombakery.com/,Gluten-free vegan bakery (parve),577 Haddon Av,"Collingswood, NJ",(856) 869-7322,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/sweet-freedom-bakery-collingswood,https://www.facebook.com/SweetFreedomBakery
Swiss Haus Bakery,bakery,Center City,http://www.swisshausbakery.com/,Dairybakery,39 S 19th St (btw Market and Chestnut),"Philadelphia, PA",(215) 563-0759,IKC,International Kosher Council,http://ikckosher.com,,Some items are parve including challah & rye bread.,,,
Taffets Bakery,bakery,Center City,http://www.taffets.com/,"Dairy, gluten-free bakery",1042 S 9th St (btw Carpenter and Washington),"Philadelphia, PA",(215) 551-5511,IKC,International Kosher Council,http://ikckosher.com,,Some items are parve.,,http://www.yelp.com/biz/taffets-bakery-and-store-philadelphia,https://www.facebook.com/totebakery
The Bagel Spot,bakery,Cherry Hill,http://www.thebagelspotnj.com/,Bagel bakery,600 Kings Hwy N,"Cherry Hill, NJ",(856) 755-9330,Cherry-K,Cherry K Vaad Hakashruth,http://www.sonsofisraelnj.com/detail.php?id=26,,,,http://www.yelp.com/biz/the-bagel-spot-cherry-hill-2,https://www.facebook.com/thebagelspotcherryhill
The Sweet Trading Co (Chocolate Concierge),bakery,Main Line,http://www.thechocolateconcierge.com/,Chocolate bakery,733B Montgomery Av,"Narberth, PA ",(267) 935-9294,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,https://www.facebook.com/TheChocolateConcierge
Viking Pastries,bakery,Main Line,http://www.vikingpastries.com,Dairy bakery,39 Cricket Av,"Ardmore, PA",(610) 642-9227,IKC,International Kosher Council,http://ikckosher.com,, Challah is parve ,,http://www.yelp.com/biz/viking-pastries-ardmore,https://www.facebook.com/VikingPastries
Z Candy Bar,bakery,Main Line,http://www.zcandybar.com,Candy,306 Levering Mill Rd,"Bala Cynwyd, PA",(610) 668-1481,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,https://www.facebook.com/zcandybar
A la Karte Boutique Cuisine,catering,Main Line,http://www.alakartecatering.com/,,106 N Essex Av,"Narberth, PA ",(484) 278-4101,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,https://www.facebook.com/pages/A-La-Karte-Boutique-Cuisine/946628435350612
Barclay Caterers,catering,Northeast,http://barclaycaterers.com/,,10960 Dutton Rd,"Philadelphia, PA",(215) 612-2837,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/barclay-caterers-philadelphia,
CBS Gourmet Catering,catering,Northeast,http://www.cbscommunitycenter.com/#!cbs-gourmet-catering/c1w6j,,198 Tomlinson Rd,"Philadelphia, PA",(215) 671-1981,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,
DFH Management,catering,Main Line,,,40 Old Lancaster Road,"Merion, PA",(267) 918-0288,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,
Miss Rachel's Pantry,catering,Center City,http://www.missrachelspantry.com,,1938 S Chadwick St (btw Mifflin and McKean),"Philadelphia, PA",(215) 798-0053,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/miss-rachels-pantry-philadelphia,https://www.facebook.com/missrachelspantry
Nana's Kitchen,catering,Main Line,http://nanask.com/,,45 Haverford Rd,"Wynnewood, PA ",(703) 586-3103,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/nanas-kitchen-wynnewood,https://www.facebook.com/nanask2
R&R Catering,catering,Main Line,http://wecaterkosher.com/R%26R_Produce_and_Fish/Welcome.html,,7551 Haverford Av,"Philadelphia, PA",(215) 878-6264,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/r-and-r-produce-and-fish-philadelphia,https://www.facebook.com/pages/RR-Produce-Fish/347551742031025
Six Points Kosher Catering,catering,Main Line,http://sixpointskosher.com,,550 Allendale Road,"King of Prussia, PA",(610) 257-3050,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/six-points-kosher-catering-king-of-prussia,https://www.facebook.com/sixpointskosher
Acme,grocery,Main Line,http://www.acmemarkets.com/,,323 Old York Rd,"Jenkintown, PA",(215) 886-2911,,,,,"Meats, poultry, and groceries",,http://www.yelp.com/biz/acme-markets-jenkintown,
Giant,grocery,Main Line,http://giantfoodstores.com/store/e9a5d6f0-f853-11e2-8436-005056954a3e/,,50 E Wynnewood Rd,"Wynnewood, PA ",(610) 642-5206,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/giant-wynnewood,
Giant,grocery,Northeast,http://giantfoodstores.com/store/2160d940-f855-11e2-8436-005056954a3e/,,737 Huntingdon Pk,"Huntingdon Valley, PA",(215) 379-6900,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,"Deli counter, meats, poultry and groceries",,http://www.yelp.com/biz/giant-huntingdon-valley,
Kosher Foods and More,grocery,Northeast,http://www.kosherfoodsandmore.com/,,"2480 Pine Rd, unit C","Huntingdon, PA",(267) 722-8530,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,Wholesale,,,https://www.facebook.com/pages/Kosher-Foods-and-More/367424980003526
Samuels & Son Seafood Co,grocery,Center City,http://www.samuelsandsonseafood.com/samuels-advantage/certified-kosher-program/,,3400 S Lawrence St,"Philadelphia, PA",(800) 580-5810,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,Only products with Keystone-K symbol,http://www.yelp.com/biz/samuels-and-son-seafood-co-philadelphia,https://www.facebook.com/samuels.seafood
ShopRIte Kosher Experience,grocery,Cherry Hill,http://ravitzfamilymarkets.com/ravitz-signature-fresh-foods/kosher-experience/,,2240 West Marlton Pke,"Cherry Hill, NJ",(856) 910-2300,Cherry-K,Cherry K Vaad Hakashruth,http://www.sonsofisraelnj.com/detail.php?id=26,,"Deli counter, meats, poultry and groceries",,http://www.yelp.com/biz/shoprite-of-garden-state-pavilion-cherry-hill,https://www.facebook.com/ShopRiteofGardenStatePavilions
ShopRite Kosher on the Boulevard,grocery,Northeast,,,11000 Roosevelt Blvd,"Philadelphia, PA",(215) 673-1200,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,"Deli counter, meats, poultry and groceries",,http://www.yelp.com/biz/shoprite-philadelphia-4,
Berry Sweet Frozen Yogurt ,ice cream,Center City,,Frozen yogurt,901 South St,"Philadelphia, PA",(215) 922-2334,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/berry-sweet-frozen-yogurt-philadelphia,https://www.facebook.com/BerrySweetFrozenYogurtSouthStreet/
Rita's Water Ice,ice cream,Northeast,http://www.ritasfranchises.com/stores/store.cfm/Grant%20Avenue-19115/store/800,Italian ice,1709 Grant Av,"Philadelphia, PA",(215) 673-9490,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,Open during summer months,,http://www.yelp.com/biz/ritas-italian-ice-philadelphia-17,https://www.facebook.com/Ritas-Italian-Ice-128753350482585/
Rita's Water Ice,ice cream,Northeast,http://www.ritasfranchises.com/stores/store.cfm/Roosevelt%20Mall-19149/store/855,Italian ice,2329 Cottman Av (Roosevelt Mall),"Philadelphia, PA",(215) 332-4404,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,Open during summer months,,http://www.yelp.com/biz/ritas-italian-ice-philadelphia-4,https://www.facebook.com/Ritas-Italian-Ice-135852353091458/
Rita's Water Ice,ice cream,Northeast,http://www.ritasfranchises.com/stores/store.cfm/Elkins%20Park-19027/store/3869,Italian ice,110 Yorktown Plaza,"Elkins Park, PA",(215) 886-7482,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,Open during summer months,,http://www.yelp.com/biz/ritas-italian-ice-elkins-park,https://www.facebook.com/RitasofElkinsPark/
Yosl's Frozen Yogurt,ice cream,Main Line,http://yoslsfrozenyogurt.com/,Soft serve and frozen yogurt,137 Montgomery Av,"Bala Cynwyd, PA",(610) 664-9675,RAS & RAS,Rabbi Avraham Shmidman and Rabbi Avraham Steinberg,,,,,http://www.yelp.com/biz/yosls-frozen-yogurt-bala-cynwyd,https://www.facebook.com/pages/Yosls-Frozen-Yogurt/456848994382516
Beit HaRambam,mikva,Northeast,,,9981 Verree Rd,"Philadelphia, PA",,,,,,Men and kehlim,,,
Chabad Lubavitch of Cherry Hill,mikva,Cherry Hill,http://www.thechabadcenter.org/templates/articlecco_cdo/aid/2455749/jewish/Our-Mikvah.htm,,1925 Kresson Rd,"Cherry Hill, NJ",(856) 874-1500,,,,,Women,,,
Community Mikvah of Philadelphia / Congregation Beth Solomon,mikva,Northeast,http://communitymikvah.com,,Somerton,"Philadelphia, PA",,,,,,,Under construction,,
Congregation Raim Ahuvim,mikva,Main Line,http://raimahuvim.org/mikvah.html,,5854 Drexel Road,"Philadelphia, PA",(215) 878-8477,,,,,Men,,,
Joseph and Martha Melohn Bucks County Mikvah,mikva,Northeast,http://www.bensalemoutreach.org/mikvah.php,,2454 Bristol Rd,"Bensalem, PA",(215) 891-5565,,,,,Women and kehlim; men on Erev Yom Tov,,,
Lower Merion Synagogue,mikva,Main Line,http://lowermerionshuls.com/localserver/sample-page-2/mikveh/,,123 Old Lancaster Rd,"Bala Cynwyd, PA",(610) 664-5626,,,,,Women and kehlim,"Open on Shabbat and Yom Tov, members only",,
Lubavitcher Center of Northeast Philadelphia,mikva,Northeast,,,7622 Castor Av,"Philadelphia, PA",(215) 725-2030,,,,,Men,,,
Mai Shalva / Center City Community Mikvah,mikva,Center City,http://philamikvah.org,,509 Pine St,"Philadelphia, PA",,,,,,Women and kehlim,Under construction,,
Mikvah Ohel Leah / Congregation Sons of Israel,mikva,Cherry Hill,http://www.sonsofisraelnj.com/detail.php?id=19,,720 Cooper Landing Rd,"Cherry Hill, NJ",(856) 667-9700,,,,,Women and kehlim; men on lower level of shul,,,
Rachel Shterna and Mikvah of Elkins Park ,mikva,Old York Road,http://cmep.weebly.com,,7715 Montgomery Av,"Elkins Park, PA",(267) 713-2637,,,,,Women and kehlim,,,
"Philadelphia Mikva Association, Northeastern Branch",mikva,Northeast,,,7525 Loretto Ave,"Philadelphia, PA",(215) 745-3334,,,,,Women and kehlim; men on Erev Yom Tov,,,
"Philadelphia Mikva Association, Western Branch /  Torah Academy",mikva,Main Line,,,742 Argyle Road,"Wynnewood, PA ",(610) 642-8679,,,,,Women,,,
Barclay Cafe,restaurant,Cherry Hill,http://www.barclaycafe.com/,Grill / Sushi,1301 Marlton Pike East,"Cherry Hill, NJ",(856) 546-0088,OK,Organized Kashrus Labs,http://www.ok.org/consumers/ok-certified-restauraunts/,,,,http://www.yelp.com/biz/cherry-grill-barclay-cafe-cherry-hill,https://www.facebook.com/BarclayCafe
Blackbird Pizzeria,restaurant,Center City,http://www.blackbirdpizzeria.com/,Vegan pizzeria,507 S 6th St (btw Lombard and South),"Philadelphia, PA",(215) 625-6660,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/blackbird-pizzeria-philadelphia-2,https://www.facebook.com/blackbirdpizzeria
Blackbird Pizzeria,restaurant,Center City,http://www.blackbirdpizzeria.com/,Vegan pizzeria,614 N 2d St (N of Spring Garden),"Philadelphia, PA",(267) 324-5224,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/blackbird-pizzeria-philadelphia-4,https://www.facebook.com/blackbirdpizzeria
Charlie Was a Sinner.,restaurant,Center City,http://charliewasasinner.com,Vegan restaurant and bar,131 S 13th St (btw Sansom and Walnut),"Philadelphia, PA",(267) 758-5372,IKC,International Kosher Council,http://ikckosher.com,,,Alcoholic beverages are NOT under supervision; list of approved alcoholic beverages available upon request. ,https://www.yelp.com/biz/charlie-was-a-sinner-philadelphia,https://www.facebook.com/charliewasasinner/
C&R Tavern & Market,restaurant,Main Line,http://www.candrkitchen.com,Upscale meat restaurant,370 Montgomery Av,"Merion, PA",(610) 257-7577,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,"Opens W, Th, Su nights only",http://www.yelp.com/biz/citron-and-rose-merion-station,https://www.facebook.com/pages/CR-Kitchen/855838604428073
cafe 613 at Temple Hillel,restaurant,Center City,http://templehillel.com/servicesdiningandholidays,College cafeteria,1441 W Norris St,"Philadelphia, PA",(215) 777-9797,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,https://www.facebook.com/Cafe613
Espresso Cafe & Sushi Bar,restaurant,Northeast,,Dairy Middle Eastern / Sushi,7814 Castor Av,"Philadelphia, PA",(215) 745-0130,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/espresso-cafe-and-sushi-bar-philadelphia-2,https://www.facebook.com/pages/Espresso-Cafe-Sushi-Bar/116127785081948
Esti's Besty's Vegetarian Restaurant,restaurant,Cherry Hill,http://www.estisbestys.com/,Pizzeria,2442 Route 38,"Cherry Hill, NJ",(856) 755-1116,Cherry-K,Cherry K Vaad Hakashruth,http://www.sonsofisraelnj.com/detail.php?id=26,,,,http://www.yelp.com/biz/estis-bestys-vegetarian-restaurant-cherry-hill,https://www.facebook.com/EstisBestysVegetarianRestaurant
Falk Dining Commons at Penn Hillel,restaurant,Center City,http://pennhillel.org/kosherdining,College dining hall,215 S 39th St. (btw Walnut and Locust),"Philadelphia, PA",(215) 573-7596,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,,https://www.facebook.com/PennKosherDining
Goldie,restaurant,Center City,http://www.goldiefalafel.com,Vegan falafel shop,1526 Sansom St,"Philadelphia, PA",(267) 239-0777,IKC,International Kosher Council,http://ikckosher.com,,,,https://www.facebook.com/goldiefalafel/?ref=br_rs,
Govinda's Gourmet Vegetarian,restaurant,Center City,http://www.govindasvegetarian.com/,Vegetarian restaurant,1408 South St,"Philadelphia, PA",(215) 985-9303,IKC,International Kosher Council,http://ikckosher.com,,Dairy cheese is Cholov Yisroel,,http://www.yelp.com/biz/govindas-vegetarian-philadelphia,https://www.facebook.com/pages/Gourmet-To-Go-Vegetarian/171184966265403
Govinda's Pizza Parlor,restaurant,Center City,http://www.govindasvegetarian.com/,Pizzeria,1408 South St,"Philadelphia, PA",(215) 985-9303,IKC,International Kosher Council,http://ikckosher.com,,Regular pizza is Pas Yisroel & Cholov Yisroel;specialty cheeses may be Cholov Stam,,http://www.yelp.com/biz/govindas-vegetarian-philadelphia,https://www.facebook.com/pages/Gourmet-To-Go-Vegetarian/171184966265403
Hey Hummus,restaurant,Center City,https://heyhummus.com/,Meat restaurant,2101 Chestnut St,"Philadelphia, PA",(267) 606-6942,IKC,International Kosher Council,http://ikckosher.com,,Glatt Kosher under Hashgacha Temidit and closed on Shabbat & Yom Tov,,,https://www.facebook.com/Hey-Hummus-1191722674255682/
Hummusology,restaurant,Center City,http://hummusology.net,Vegetarian restaurant,1112 Locust St,"Philadelphia, PA",(215) 522-6506,IKC,International Kosher Council,http://ikckosher.com,,,,,http://facebook.co1m/hummusology
Judah Mediterranean Grill,restaurant,Northeast,http://www.judahgrill.com/,Grill,9311 Krewstown Rd,"Philadelphia, PA",(215) 613-6110,KMP,Kashrut Mehadrin Philadelphia,,,,,http://www.yelp.com/biz/judah-mediterranean-grill-philadelphia,https://www.facebook.com/pages/JUDAHS-mediterranean-Grill/121458504535892
Mama's Vegetarian,restaurant,Center City,www.mamasvegetarian.com/,Israeli style falafel,18 S 20th St (btw Market and Chestnut),"Philadelphia, PA",(215) 751-0477,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/mamas-vegetarian-philadelphia,https://www.facebook.com/Mamasvegetarian
Mi Lah,restaurant,Center City,http://www.milahvegetarian.com,Vegan Asian,30th Street Station,"Philadelphia, PA",,IKC,International Kosher Council,http://ikckosher.com,,,,,
Miss Rachel's Pantry,restaurant,Center City,http://www.missrachelspantry.com,Vegan restaurant and catering,1938 S Chadwick St (btw Mifflin and McKean),"Philadelphia, PA",(215) 798-0053,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/miss-rachels-pantry-philadelphia,https://www.facebook.com/missrachelspantry
Nana's Kitchen,restaurant,Main Line,http://nanask.com/,Cafeteria,45 Haverford Rd,"Wynnewood, PA ",(703) 586-3103,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/nanas-kitchen-wynnewood,https://www.facebook.com/nanask2
New Harmony,restaurant,Center City,https://plus.google.com/111290623689158675684/about?gl=us&hl=en,Vegan Chinese,135 N 9th St (btw Cherry and Race),"Philadelphia, PA",(215) 627-4520,KEK,,,,,,http://www.yelp.com/biz/new-harmony-vegetarian-restaurant-philadelphia,https://www.facebook.com/pages/New-Harmony-Vegetarian-Restaurant/192359379755
Palace Royal,restaurant,Northeast,http://www.prkosher.com,Russian family-style meat restaurant,9859 Bustleton Av,"Philadelphia, PA",(215) 677-3323,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/palace-royal-philadelphia,https://www.facebook.com/palaceroyal.kosher
Pure Sweets / PS & Co,restaurant,Center City,http://puresweets.com,Vegan caf,1706 Locust St,"Philadelphia, PA",(215) 985-1706,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/p-s-and-co-philadelphia-2,https://www.facebook.com/psandco
Shalom Pizza,restaurant,Main Line,http://shalompizzeria.com/,Pizzeria,7598 Haverford Av,"Philadelphia, PA",(215) 878-1500,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/shalom-pizza-philadelphia,https://www.facebook.com/pages/Shalom-Pizza/170886962939334
Star of David Kosher Grill,restaurant,Main Line,http://www.kosherstarofdavid.com/,Meat Middle Eastern / Sushi,942 Montgomery Av,"Narberth, PA ",(484) 278-4129,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/star-of-david-narberth,https://www.facebook.com/Star-Of-David-Kosher-Grill-199200370411337/
Su Xing House,restaurant,Center City,http://www.suxinghouse.com/,Vegetarian Chinese,1508 Sansom St,"Philadelphia, PA",(215) 564-1419,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/su-xing-house-philadelphia,https://www.facebook.com/pages/Su-Xing-House/111597545542199
The Dairy Caf,restaurant,Main Line,http://www.thedairyatbala.com,Diner-format dairy restaurant,321 Montgomery Av,"Bala Cynwyd, PA",(610) 808-9045,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/the-dairy-cafe-bala-cynwyd,https://www.facebook.com/thedairycafe
The Dairy Express,restaurant,Main Line,http://www.thedairyatbala.com,Diner-format dairy restaurant,370 Montgomery Av,"Merion Station, PA",(610) 808-9045,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/the-dairy-cafe-bala-cynwyd,https://www.facebook.com/thedairycafe
The Tasty,restaurant,Center City,http://www.thetastyphilly.com/,Vegan diner,1401 S 12th St,"Philadelphia, PA",(267) 457-5670,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/the-tasty-philadelphia-2,https://www.facebook.com/TheTastyPhilly/
Vegan Tree,restaurant,Center City,http://742vegantree.com,Full-menu vegan,726 South St,"Philadelphia, PA",(215) 454-2898,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/vegan-tree-philadelphia,https://www.facebook.com/Vegan-Tree-361556250526598/
Center City Eruv,eruv,Center City,http://www.centercityeruv.org/map.asp,,,,,,,,,Linked to University City via South St Bridge,,,
University City Eruv,eruv,Center City,http://www.universitycityeruv.org/,,,,,,,,,Linked to Center City via South St Bridge,,,
Eruv of Lower Merion,eruv,Main Line,http://lowermerioneruv.org/wordpress/?page_id=14,,,,,,,,,,,,
Elkins Park Eruv,eruv,Old York Road,http://www.yiep.org/eruv-map/,,,,,,,,,,,,
Northeast Philadelphia Eruv,eruv,Northeast,http://www.jcor.org/jewish-life/eruv/,,,,,,,,,,,,
Bensalem Eruv,eruv,Northeast,http://www.bensalemoutreach.org/eiruv.php,,,,,,,,,,,,
Cherry Hill East Eruv,eruv,Cherry Hill,http://tlsnj.org/resources/south-jersey/eruv.aspx,,,,,,,,,,,,
Cherry Hill West Eruv,eruv,Cherry Hill,http://www.sonsofisraelnj.com/detail.php?id=25,,,,,,,,,,,,
